SpeciesId,Species,Genus,Order,Family,Vore,Conservation,BodyWt,BrainWt,TotalSleep,Awake,NonDreaming,Dreaming,LifeSpan,Gestation,Predation,Exposure,Danger
67,Red fox,Vulpes,Carnivora,"	Canidae",carni,lc,4.23,50.4,9.8,14.2,7.4,2.4,9.8,52,1,1,1
68,Rock hyrax,Procavia,Hyracoidea,Procaviidae,herbi,lc,3.6,21,5.4,18.6,4.9,0.5,6,225,3,2,3
69,Roe deer,Capreolus,Artiodactyla,Cervidae,herbi,lc,14.8,98.2,3,21,,,17,150,5,5,5
70,Round-tailed muskrat,Neofiber,Rodentia,Cricetidae,herbi,nt,0.266,0,14.6,9.4,,,3.5,28,,,
71,Sheep,Ovis,Artiodactyla,Bovidae,herbi,domesticated,55.5,175,3.8,20.2,3.2,0.6,20,151,5,5,5
72,Short-nosed echidna,Tachyglossus,Monotremata,Tachyglossidae,insecti,lc,4.5,25,8.6,15.4,8.6,,50,28,2,2,2
73,Slow loris,Nyctibeus,Primates,Lorisidae,carni,en,1.4,12.5,11,13,,,12.7,90,2,2,2
74,Squirrel monkey,Saimiri,Primates,Cebidae,omni,lc,0.743,20,9.6,14.4,,1.4,11,165,,,
75,Star-nosed mole,Condylura,Soricomorpha,Talpidae,omni,lc,0.06,1,10.3,13.7,8.1,2.2,3.5,45,3,1,2
76,Tenrec,Tenrec,Afrosoricida,Tenrecidae,omni,lc,0.9,2.6,15.6,8.4,11,2.3,4.5,60,2,1,2
77,Thick-tailed opposum,Lutreolina,Didelphimorphia,Didelphidae,carni,lc,0.37,0,19.4,4.6,,6.6,1.5,14,,,
78,Thirteen-lined ground squirrel,Spermophilus,Rodentia,Sciuridae,herbi,lc,0.101,4,13.8,10.2,,3.4,3.5,28,,,
79,Three-toed sloth,Bradypus,Pilosa,Bradypodidae,herbi,cr,3.85,0,14.4,9.6,,2.2,27.5,180,,,
80,Tiger,Panthera,Carnivora,Felidae,carni,en,162.564,0,15.8,8.2,,,10,103,,,
81,Tree hyrax,Dendrohyrax,Hyracoidea,Procaviidae,herbi,lc,2.95,12.3,5.3,18.7,4.9,0.5,7.5,200,3,1,3
82,Tree shrew,Tupaia,Scandentia,Ptilocercidae ,omni,lc,0.104,2.5,8.9,15.1,13.2,2.6,2.3,46,3,2,2
83,Vervet,Cercopithecus,Primates,Cercopithecidae,omni,lc,4.75,58,10,14,9.7,0.6,24,210,4,3,4
84,Vesper mouse,Calomys,Rodentia,Cricetidae,herbi,lc,0.045,0,7,17,,,1.5,24.5,,,
85,Vole,Microtus,Rodentia,Cricetidae,herbi,lc,0.035,0,12.8,11.2,,,0.5,22,,,
86,Water opossum,Chironectes,Didelphimorphia,Didelphidae,carni,lc,3.5,3.9,19.4,4.6,12.8,6.6,3,14,2,1,1
87,Western american chipmunk,Eutamias,Rodentia,Sciuridae,herbi,lc,0.071,0,14.9,9.1,,,7,31,,,
